job_title,recruiter,overview,skills,regions,publish_date,link
Chargé de Clientèle Bilingue,MAJOREL,"Rattaché au Responsable du Groupe, le Chargé de Clientèle Bilingue est amené à répondre aux demandes d’informations, de... ","ACCOMPAGNEMENT,ACHATS,FORMATION,VENTE","Atakpamé,Dapaong,Kara,Lomé,Sokodé",19.11.2022,/offre-emploi-togo/charge-clienteles-bilingues-174589
Directeur Général,AFRIK CREANCES TOGO,"Dans la perspective de son développement en Afrique, AFRIK CREANCES, une nouvelle Institution Financière Régionale, spécialisée dans le... ","BUSINESS MANAGEMENT,GESTION,GESTION DES RISQUES,INGÉNIERIE FINANCIÈRE,LEADERSHIP,MANAGEMENT,PLANIFICATION,RÉGLEMENTATION BANCAIRE,STRATÉGIE,STRATÉGIE DE DÉVELOPPEMENT",Lomé,19.11.2022,/offre-emploi-togo/directeur-general-202979
Commercial H/F,N.C.,NSIA Vie Assurances recrute dans le cadre du renforcement de son équipe commerciale des agents compétents et dynamiques pour le poste de... ,VENTE,Lomé,19.11.2022,/offre-emploi-togo/commercial-hf-203321
Sales Development Representative,REVIEVE,"Welcome to RevieveThe world of commerce is in the middle of a transformational shift. This shift is challenging old, transaction-driven... ",,"Atakpamé,Dapaong,Kara,Lomé,Sokodé,International",19.11.2022,/offre-emploi-togo/sales-development-representative-204079
"Marketing Studies Manager, International Scope",ESSILORLUXOTTICA,Location: could be based in Paris where the HQs is or anywhere within the EMEA region.Join a newly created medical teamThe Post Market... ,,"Atakpamé,Dapaong,Kara,Lomé,Sokodé,International",19.11.2022,/offre-emploi-togo/marketing-studies-manager-international-scope-204093
Medical Communication Manager,ESSILORLUXOTTICA,Location: could be based in Paris where the HQs is or anywhere within the EMEA region.Join EssilorLuxottica newly created Medical teamIn... ,,"Atakpamé,Dapaong,Kara,Lomé,Sokodé,International",19.11.2022,/offre-emploi-togo/medical-communication-manager-204095
Contrôleur de Gestion Expérimenté,OIGH,Nous recrutons un Contrôleur de Gestion Expérimenté pour vérifier les dépenses et les procédures de passations de marché en... ,"COMPTABILITÉ,COMPTABILITÉ PUBLIQUE,FINANCE,GESTION","Atakpamé,Dapaong,Kara,Lomé,Sokodé",18.11.2022,/offre-emploi-togo/controleur-gestion-experimente-50665
Secrétaire Comptable H/F,OIGH,ONG recrute pour son siège à Lomé un Secrétaire Comptable H/F.Missions :Toutes taches administratives et de réception des courriers et... ,"ASSISTANAT,AUDIT,BANQUE,COMPTABILITÉ,FINANCE,GESTION,RÉDACTION,SECRÉTARIAT",Lomé,18.11.2022,/offre-emploi-togo/secretaire-comptable-hf-53495
Assistant de Direction Opérationnel,OIGH,"Nous sommes une organisation spécialisée dans le renforcement de la gestion des hôpitaux publics. Et pour nos besoins de service, nous... ","BDD,MICROSOFT,SANTÉ,SANTÉ PUBLIQUE","Atakpamé,Dapaong,Kara,Sokodé",18.11.2022,/offre-emploi-togo/assistant-direction-operationnel-95185
Commercial H/F,FALCON CONSULTING INTERNATIONAL,Objectif du poste :Le commercial est chargé de la commercialisation des produits aux clients et de l’augmentation du chiffre d... ,"ACTIONS COMMERCIALES,COMMERCIALISATION,PROSPECTION,RECOUVREMENT,VENTE","Atakpamé,Dapaong,Kara,Lomé,Sokodé",18.11.2022,/offre-emploi-togo/commercial-192110
